TID,Variable,Value
1983-03,pi^12_t,0.07451923076923062
1983-03,pi_t,-0.0022321428571429047
1983-04,2020indeks,43.689320388349515
1983-04,INDHOLD,45.0
1983-04,pi^12_t,0.07655502392344515
1983-04,pi_t,0.006711409395973256
1983-05,2020indeks,44.1747572815534
1983-05,INDHOLD,45.5
1983-05,pi^12_t,0.0756501182033098
1983-05,pi_t,0.011111111111111072
1983-06,2020indeks,44.271844660194176
1983-06,INDHOLD,45.6
1983-06,pi^12_t,0.07042253521126751
1983-06,pi_t,0.00219780219780219
1983-07,2020indeks,44.271844660194176
1983-07,INDHOLD,45.6
1983-07,pi^12_t,0.06046511627906992
1983-07,pi_t,0.0
1983-08,2020indeks,44.46601941747573
1983-08,INDHOLD,45.8
1983-08,pi^12_t,0.06018518518518512
1983-08,pi_t,0.004385964912280604
1983-09,2020indeks,44.95145631067961
1983-09,INDHOLD,46.3
1983-09,pi^12_t,0.059496567505720854
1983-09,pi_t,0.01091703056768556
1983-10,2020indeks,45.24271844660194
1983-10,INDHOLD,46.6
1983-10,pi^12_t,0.05429864253393668
1983-10,pi_t,0.00647948164146861
1983-11,2020indeks,45.63106796116505
1983-11,INDHOLD,47.0
1983-11,pi^12_t,0.053811659192825045
1983-11,pi_t,0.008583690987124637
1983-12,2020indeks,45.63106796116505
1983-12,INDHOLD,47.0
1983-12,pi^12_t,0.060948081264108334
1983-12,pi_t,0.0
1984-01,2020indeks,45.82524271844661
1984-01,INDHOLD,47.2
1984-01,pi^12_t,0.0559284116331098
1984-01,pi_t,0.004255319148936287
1984-02,2020indeks,46.31067961165049
1984-02,INDHOLD,47.7
1984-02,pi^12_t,0.06473214285714302
1984-02,pi_t,0.010593220338983134
1984-03,2020indeks,46.40776699029126
1984-03,INDHOLD,47.8
1984-03,pi^12_t,0.06935123042505587
1984-03,pi_t,0.002096436058699913
1984-04,2020indeks,46.601941747572816
1984-04,INDHOLD,48.0
1984-04,pi^12_t,0.06666666666666665
1984-04,pi_t,0.004184100418410219
1984-05,2020indeks,47.0873786407767
1984-05,INDHOLD,48.5
1984-05,pi^12_t,0.06593406593406592
1984-05,pi_t,0.01041666666666674
1984-06,2020indeks,47.28155339805826
1984-06,INDHOLD,48.7
1984-06,pi^12_t,0.06798245614035103
1984-06,pi_t,0.004123711340206393
1984-07,2020indeks,47.18446601941748
1984-07,INDHOLD,48.6
1984-07,pi^12_t,0.06578947368421062
1984-07,pi_t,-0.002053388090349162
1984-08,2020indeks,47.37864077669903
1984-08,INDHOLD,48.8
1984-08,pi^12_t,0.06550218340611358
1984-08,pi_t,0.00411522633744843
1984-09,2020indeks,47.76699029126214
1984-09,INDHOLD,49.2
1984-09,pi^12_t,0.06263498920086397
1984-09,pi_t,0.00819672131147553
1984-10,2020indeks,47.961165048543684
1984-10,INDHOLD,49.4
1984-10,pi^12_t,0.060085836909871126
1984-10,pi_t,0.00406504065040636
1984-11,2020indeks,48.349514563106794
1984-11,INDHOLD,49.8
1984-11,pi^12_t,0.05957446808510625
1984-11,pi_t,0.00809716599190291
1984-12,2020indeks,48.25242718446602
1984-12,INDHOLD,49.7
1984-12,pi^12_t,0.057446808510638325
1984-12,pi_t,-0.00200803212851397
1985-01,2020indeks,48.446601941747566
